ID_DIARIO,BUS_FK,PERIODO,DIAS_MES_aux,DIAS_LABORADOS,TIEMPO_DISPONIBLE,DIAS_PEND_aux,Prom_Vueltas_x_Dia_aux,VUELTAS_EFECTUADAS,VUELTAS_PENDIENTES,KM_EFECTUADOS,KM_PENDIENTES,T_x_Vuelta_prom_aux,TIEMPO_OPERATIVO,T_prom_Descanso_Vuelta_aux,  PARADAS_ADMINSITRATIVAS  ,SALDO_TIEMPO_aux,Nro_Averias,Hrs_Averiado,Peso_Prev_aux,Hrs_Prev,  PARADAS PLANIFICADAS  ,  xTC  ,xDisponibilidad
363,30,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,6.00,32.50,, 71.00 ,, 300.50 , 0.8918 
181,31,01/07/2022,31,31,744,,,,," 5,113.60 ", 714.40 ,,272, 57.12 ,,,9.00,48.50,, 77.00 ,, 320.50 , 0.8487 
182,31,01/08/2022,31,31,744,,,,," 4,982.00 ", 846.00 ,,265, 55.65 ,,,9.00,67.50,, 77.00 ,, 332.50 , 0.7970 
183,31,01/09/2022,30,30,720,,,,," 4,681.20 ", 958.80 ,,249, 52.29 ,,,12.00,69.50,, 75.00 ,, 318.50 , 0.7818 
184,31,01/10/2022,31,31,744,,,,," 4,906.80 ", 921.20 ,,261, 54.81 ,,,10.00,68.50,, 77.00 ,, 329.50 , 0.7921 
185,31,01/11/2022,30,30,720,,,,," 4,775.20 ", 864.80 ,,254, 53.34 ,,,7.00,60.50,, 75.00 ,, 314.50 , 0.8076 
186,31,01/12/2022,31,31,744,,,,," 5,151.20 ", 676.80 ,,274, 57.54 ,,,5.00,44.50,, 77.00 ,, 318.50 , 0.8603 
324,31,01/01/2023,31,31,744,,,,," 5,245.20 ", 582.80 ,,279, 58.59 ,,,6.00,37.50,, 77.00 ,, 316.50 , 0.8815 
364,31,01/02/2023,28,28,672,,,,," 5,019.60 ", 244.40 ,,267, 56.07 ,,,4.00,30.50,, 71.00 ,, 297.50 , 0.8975 
187,32,01/07/2022,31,31,744,,,,," 4,888.00 ", 940.00 ,,260, 54.60 ,,,11.00,67.00,, 77.00 ,, 327.00 , 0.7951 
