ID_DIARIO;BUS_FK;PK_BUS_PERIODO_toMP;PERIODO;DIAS_MES_aux;DIAS_LABORADOS;TIEMPO_DISPONIBLE;KM_EFECTUADOS;KM_PENDIENTES;TIEMPO_OPERATIVO;T_prom_Descanso_Vuelta_aux; PARADAS_ADMINSITRATIVAS ;Nro_Averias;Hrs_Averiado;Hrs_Prev; PARADAS PLANIFICADAS ; xTC ;xDisponibilidad
276;46;4644896;1/12/2022;31;31;744; 5,546.00 ; 282.00 ;295; 61.95 ;;5.00;12.00; 77.00 ;; 307.00 ; 0.9609 
337;46;4644927;1/01/2023;31;31;744; 5,621.20 ; 206.80 ;299; 62.79 ;;5.00;18.00; 77.00 ;; 317.00 ; 0.9432 
377;46;4644958;1/02/2023;28;28;672; 5,188.80 ; 75.20 ;276; 57.96 ;;5.00;19.10; 71.00 ;; 295.10 ; 0.9353 
277;47;4744743;1/07/2022;31;31;744; 4,439.48 ; 1,388.52 ;236.1425; 49.59 ;4258.28686;9.00;69.00; 77.00 ;-3,896.43 ; 305.14 ; 0.7739 
278;47;4744774;1/08/2022;31;31;744; 3,428.26 ; 2,399.74 ;182.3544; 38.29 ;2706.649888;6.00;58.00; 77.00 ;-2,280.00 ; 240.35 ; 0.7587 
279;47;4744805;1/09/2022;30;30;720; 3,055.75 ; 2,584.25 ;162.54; 34.13 ;2150.4042;9.00;60.00; 75.00 ;-1,727.94 ; 222.54 ; 0.7304 
280;47;4744835;1/10/2022;31;31;744; 4,318.55 ; 1,509.45 ;229.71; 48.24 ;4486.2363;8.00;54.00; 77.00 ;-4,102.95 ; 283.71 ; 0.8097 
281;47;4744866;1/11/2022;30;30;720; 5,428.50 ; 211.50 ;288.75; 60.64 ;6366.9375;6.00;41.00; 75.00 ;-6,051.69 ; 329.75 ; 0.8757 
282;47;4744896;1/12/2022;31;31;744; 4,423.45 ; 1,404.55 ;235.29; 49.41 ;4595.2137;4.00;31.50; 77.00 ;-4,195.00 ; 266.79 ; 0.8819 
338;47;4744927;1/01/2023;31;31;744; 6,215.27 ;-387.27 ;330.5995; 69.43 ;8285.980568;7.00;26.00; 77.00 ;-7,975.58 ; 356.60 ; 0.9271 
378;47;4744958;1/02/2023;28;28;672; 5,208.46 ; 55.54 ;277.046; 58.18 ;6271.767348;4.00;17.50; 71.00 ;-5,965.31 ; 294.55 ; 0.9406 
283;48;4844743;1/07/2022;31;31;744; 5,264.00 ; 564.00 ;280; 58.80 ;;8.00;55.00; 77.00 ;; 335.00 ; 0.8358 
284;48;4844774;1/08/2022;31;31;744; 5,038.40 ; 789.60 ;268; 56.28 ;;9.00;64.00; 77.00 ;; 332.00 ; 0.8072 
285;48;4844805;1/09/2022;30;30;720; 4,662.40 ; 977.60 ;248; 52.08 ;;11.00;80.00; 75.00 ;; 328.00 ; 0.7561 
286;48;4844835;1/10/2022;31;31;744; 5,019.60 ; 808.40 ;267; 56.07 ;;10.00;68.00; 77.00 ;; 335.00 ; 0.7970 
287;48;4844866;1/11/2022;30;30;720; 4,963.20 ; 676.80 ;264; 55.44 ;;8.00;54.00; 75.00 ;; 318.00 ; 0.8302 
288;48;4844896;1/12/2022;31;31;744; 5,339.20 ; 488.80 ;284; 59.64 ;;8.00;38.50; 77.00 ;; 322.50 ; 0.8806 
339;48;4844927;1/01/2023;31;31;744; 5,583.60 ; 244.40 ;297; 62.37 ;;4.00;18.50; 77.00 ;; 315.50 ; 0.9414 
379;48;4844958;1/02/2023;28;28;672; 4,963.20 ; 300.80 ;264; 55.44 ;;6.00;22.00; 71.00 ;; 286.00 ; 0.9231 
